# Biosample	Assay
prostate gland male adult (37 years)	ChIP-seq ETS1
subcutaneous adipose tissue female adult (53 years)	ChIP-seq H3K9ac
Parathyroid adenoma male adult (65 years)	polyA depleted RNA-seq
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	RAMPAGE
endothelial cell of umbilical vein nuclear fraction male newborn	ChIP-seq SMC3
mucosa of rectum female adult (61 year)	ChIP-seq EZH2phosphoT487
omental fat pad female adult (51 year)	ChIP-seq H3K79me1
adrenal gland male adult (34 years)	ChIP-seq TCF12
gastroesophageal sphincter male adult (37 years)	small RNA-seq
caudate nucleus female adult (75 years)	ChIP-seq ATF3
mammary epithelial cell female adult (23 years)	ChIP-seq H3K4ac
muscle layer of duodenum male adult (73 years)	ChIP-seq H3K9me2
mammary stem cell	ChIP-seq HDAC2
fibroblast of lung male adult (45 years)	ChIP-seq H3K36me3
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq H3K4me3
sigmoid colon male adult (37 years)	CAGE
cingulate gyrus female adult (75 years)	ChIP-seq RCOR1
fibroblast of lung male adult (45 years)	ATAC-seq
stomach female adult (51 year)	ChIP-seq ETS1
CD4-positive, CD25-positive, alpha-beta regulatory T cell	ChIP-seq H4K91ac
thymus male child (3 years)	ChIP-seq REST
esophagus muscularis mucosa female adult (51 year)	ChIP-seq H3K4ac
fibroblast of villous mesenchyme female newborn and male newborn	ChIP-seq ATF3
SK-MEL-5 nuclear fraction	ChIP-seq H3K79me2
omental fat pad male adult (37 years)	polyA RNA-seq
sigmoid colon male adult (54 years)	ChIP-seq EZH2
suprapubic skin female adult (53 years)	ChIP-seq GABPA
lower leg skin female adult (53 years)	ChIP-seq ETS1
temporal lobe female adult (75 years)	ChIP-seq USF1
SK-N-DZ nuclear fraction	ChIP-seq POLR2AphosphoS5
transverse colon male adult (54 years)	ChIP-seq H2AFZ
mammary epithelial cell female adult (23 years)	ChIP-seq MAFK
HUES64	ChIP-seq H4K91ac
tibial nerve female adult (51 year)	ChIP-seq GTF2F1
adrenal gland female adult (53 years)	ChIP-seq CEBPB
CD8-positive, alpha-beta memory T cell	ChIP-seq GTF2F1
skeletal muscle satellite cell female adult originated from mesodermal cell	ChIP-seq H4K20me1
cingulate gyrus female adult (75 years)	ChIP-seq H2BK5ac
liver female adult (25 years)	ChIP-seq HDAC2
esophagus muscularis mucosa male adult (54 years)	ChIP-seq H3K9me3
omental fat pad male adult (37 years)	ChIP-seq HDAC2
skeletal muscle tissue female embryo (19 weeks) and male embryo (22 weeks)	ChIP-seq H3K27me3
thyroid gland female adult (51 year)	ChIP-seq NRF1
B cell male adult (21 year)	ChIP-seq H4K91ac
A375	ChIP-seq MAZ
myoepithelial cell of mammary gland female adult (36 years)	DNase-seq read-depth normalized signal
SJSA1	ChIP-seq KDM1A
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	ChIP-seq TAF1
colonic mucosa female adult (56 years)	ChIP-seq H3K4ac
vein endothelial cell male adult (48 years) and male adult (52 years)	total RNA-seq
fibroblast of villous mesenchyme female newborn and male newborn	ChIP-seq H3K4me1
chorionic villus male embryo (38 weeks)	ChIP-seq H2BK12ac
duodenal mucosa male adult (76 years)	ChIP-seq SUZ12
iPS-15b female adult (48 years)	ChIP-seq MAZ
HeLa-S3 nuclear fraction	ChIP-seq RFX5
HT1080 nuclear fraction	ChIP-seq FOXA1
A549 cytosolic fraction	ChIP-seq ZFP36
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H2BK12ac
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq H3K9me3
DOHH2	ChIP-seq JUND
endothelial cell of umbilical vein nuclear fraction male newborn	ChIP-seq EZH2phosphoT487
common myeloid progenitor, CD34-positive male adult (42 years)	ChIP-seq H3K18ac
osteoblast	ChIP-seq JUND
CD14-positive monocyte male adult (21 year)	ChIP-seq GTF2F1
gastrocnemius medialis female adult (53 years)	ChIP-seq GTF2F1
esophagus muscularis mucosa female adult (51 year)	total RNA-seq
mesenchymal stem cell of Wharton's jelly	microRNA-seq
neutrophil male	ChIP-seq H3K4ac
pancreas male adult (34 years)	ChIP-seq MAX
liver female adult (25 years)	ChIP-seq H3K27ac
suprapubic skin male adult (54 years)	ChIP-seq BHLHE40
ascending aorta female adult (51 year)	ChIP-seq H3F3A
stomach female adult (51 year)	ChIP-seq H3K18ac
SK-N-SH nuclear fraction	ChIP-seq SIN3A
colonic mucosa female adult (73 years)	ChIP-seq EZH2phosphoT487
IMR-90 cytosolic fraction	polyA depleted RNA-seq
stomach male adult (34 years)	ChIP-seq EP300
MCF-7	ChIP-seq FOXK2
tibial nerve female adult (53 years)	ChIP-seq H3K9me2
upper lobe of left lung female adult (51 year)	ChIP-seq H3K4me3
skeletal muscle myoblast male adult (22 years)	ChIP-seq USF2
duodenal mucosa male adult (59 years)	ChIP-seq YY1
A375	ChIP-seq H2AFZ
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	ChIP-seq H3K27ac
angular gyrus male adult (81 year)	ChIP-seq H3K4me1
iPS DF 19.11 male newborn	ChIP-seq H2BK12ac
upper lobe of left lung male adult (37 years)	ChIP-seq SMC3
muscle layer of duodenum male adult (59 years)	ChIP-seq BHLHE40
peripheral blood mononuclear cell male adult (32 years)	ChIP-seq H4K20me1
Caco-2	ChIP-seq ELF1
NCI-H929	ChIP-seq H4K91ac
Peyer's patch female adult (51 year)	DNase-seq read-depth normalized signal
H7-hESC	ChIP-seq POLR2A
NCI-H460 cytosolic fraction	ChIP-seq H3F3A
OCI-LY7	ChIP-seq H3K18ac
osteoblast female adult (56 years) and male adult (62 years)	ChIP-seq GABPA
K562 nucleolus fraction	ChIP-seq H2BK15ac
chorionic villus male embryo (16 weeks)	ChIP-seq H3K9me3
A549 treated with 0.02% ethanol for 1 hour	ChIP-seq H3K14ac
osteoblast female adult (56 years) and male adult (62 years)	ChIP-seq H3K4ac
suprapubic skin female adult (53 years)	ChIP-seq TAF1
cingulate gyrus female adult (75 years)	ChIP-seq H3K9me2
keratinocyte female	ChIP-seq CEBPB
neural stem progenitor cell originated from H9	microRNA-seq
mucosa of stomach male adult (59 years)	ChIP-seq H3K79me2
cingulate gyrus male adult (81 year)	ChIP-seq GTF2F1
A549 cytosolic fraction	ChIP-seq ELK1
subcutaneous adipose tissue male adult (37 years)	ChIP-seq H3K27ac
SK-N-MC	ChIP-seq H4K8ac
Peyer's patch female adult (51 year)	ChIP-seq EP300
testis male adult (54 years)	ChIP-seq CHD2
mucosa of rectum female adult (61 year)	ChIP-seq HDAC2
lung female adult (30 years)	ChIP-seq H3K79me1
body of pancreas male adult (54 years)	ChIP-seq H2BK120ac
suprapubic skin male adult (54 years)	ChIP-seq H3K4me2
A549 treated with 0.02% ethanol for 1 hour	DNase-seq read-depth normalized signal
fibroblast of villous mesenchyme female newborn and male newborn	ChIP-seq MAX
Peyer's patch male adult (37 years)	ChIP-seq TCF12
thymus female embryo (110 days)	ChIP-seq H3F3A
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H3K79me2
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq CTCF
omental fat pad female adult (53 years)	ChIP-seq MAFK
SK-N-DZ cytosolic fraction	ChIP-seq H3K4ac
ovary female adult (53 years)	ChIP-seq SUZ12
esophagus muscularis mucosa male adult (54 years)	ChIP-seq REST
adrenal gland female adult (30 years)	ChIP-seq H3K9me2
placenta embryo (16 weeks)	ChIP-seq POLR2A
effector memory CD4-positive, alpha-beta T cell	total RNA-seq
placental basal plate female embryo (40 weeks)	ChIP-seq FOXK2
astrocyte	ChIP-seq H3K27me3
upper lobe of left lung female adult (53 years)	ChIP-seq EP300
HUES48	ChIP-seq H3K9me3
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	ChIP-seq H3K18ac
Peyer's patch male adult (54 years)	ChIP-seq H4K91ac
lung male child (3 years)	ChIP-seq H2BK12ac
skeletal muscle tissue male adult (54 years)	ChIP-seq H2BK12ac
endothelial cell of umbilical vein cytosolic fraction male newborn	ChIP-seq POLR2AphosphoS5
GM12878 nuclear fraction	ChIP-seq MAZ
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq USF2
gastroesophageal sphincter male adult (37 years)	ChIP-seq KDM1A
HepG2 nuclear fraction	ChIP-seq H2BK15ac
ascending aorta female adult (51 year)	ChIP-seq H3K9me3
H4	ChIP-seq FOXK2
subcutaneous abdominal adipose tissue nuclear fraction female adult (59 years)	ChIP-seq SP1
iPS-18a female adult (48 years)	ChIP-seq EZH2
fibroblast of breast female adult (17 years)	ChIP-seq ATF3
subcutaneous adipose tissue female adult (53 years)	ChIP-seq EGR1
UCSF-4	ChIP-seq REST
H9	ChIP-seq H2BK120ac
mesenchymal stem cell of Wharton's jelly	ChIP-seq EZH2
CD4-positive, CD25-positive, alpha-beta regulatory T cell	ChIP-seq SIN3A
K562	ChIP-seq H4K8ac
small intestine female adult (30 years)	polyA RNA-seq
GM12878	ChIP-seq USF2
melanocyte of skin female adult (52 years) and male adult (55 years)	microRNA-seq
fibroblast of breast female adult (26 years)	ChIP-seq H3K9me2
T-cell	ChIP-seq MAX
sigmoid colon female adult (51 year)	ChIP-seq H3K4ac
OCI-LY3	ChIP-seq EP300
astrocyte	ChIP-seq SP1
subcutaneous adipose tissue female adult (51 year)	ChIP-seq H3K27me3
prostate gland male adult (54 years)	ChIP-seq H3K36me3
esophagus squamous epithelium female adult (53 years)	ChIP-seq RCOR1
cardiac muscle cell	ChIP-seq H3K23ac
kidney epithelial cell	small RNA-seq
ascending aorta female adult (51 year)	ChIP-seq ZFP36
thymus female embryo (110 days)	ChIP-seq H3K9me3
HUES48	ChIP-seq ELK1
testis male adult (37 years)	ATAC-seq
HEK293T	ChIP-seq GABPA
iPS-15b female adult (48 years)	ChIP-seq H3K4me2
aorta male adult (34 years)	ChIP-seq H3K4me1
chorionic villus male embryo (16 weeks)	ChIP-seq ZFP36
trophoblast cell originated from H1-hESC	ChIP-seq H3K18ac
spleen male child (3 years)	DNase-seq read-depth normalized signal
transverse colon female adult (53 years)	microRNA-seq
endothelial cell of umbilical vein nuclear fraction male newborn	ChIP-seq HDAC2
middle frontal area 46 male adult (81 year)	ChIP-seq H3K9ac
muscle of trunk female embryo (115 days)	ChIP-seq H3K18ac
skeletal muscle tissue female adult (72 years)	small RNA-seq
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	total RNA-seq
smooth muscle cell originated from H9	ChIP-seq H4K8ac
placental epithelial cell female newborn and male newborn	ChIP-seq H4K20me1
HeLa-S3	ChIP-seq H3K4me1
MCF-7 nuclear fraction	ChIP-seq FOXA1
melanocyte of skin female adult (52 years) and male adult (55 years)	ChIP-seq H4K91ac
B cell female adult (27 years)	ChIP-seq H3K27me3
mammary epithelial cell female	ChIP-seq H2BK5ac
SK-N-DZ treated with dimethyl sulfoxide for 72 hours	ChIP-seq H3K9me2
T-cell	ChIP-seq H3K4me1
fibroblast of lung female child (11 year) and male adult (45 years)	polyA RNA-seq
ovary female adult (30 years)	ChIP-seq H3K4me1
skeletal muscle tissue female embryo (19 weeks) and male embryo (22 weeks)	ChIP-seq SP1
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq TCF12
HepG2	ChIP-seq H3K9me2
stomach male child (3 years)	polyA depleted RNA-seq
small intestine male adult (34 years)	ChIP-seq ZBTB33
mammary epithelial cell female	ChIP-seq H3K9me2
trophoblast female embryo (20 weeks)	ChIP-seq H2AK5ac
endocrine pancreas male adult (46 years)	ChIP-seq H3K9me3
suprapubic skin female adult (51 year)	ChIP-seq EZH2phosphoT487
chorion female embryo (40 weeks)	ChIP-seq MAZ
endocrine pancreas adult (59 years)	ChIP-seq H3K23ac
neural cell	ChIP-seq BHLHE40
B cell male adult (21 year)	microRNA-seq
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq TCF12
endothelial cell of umbilical vein male newborn	ChIP-seq JUND
K562	ChIP-seq ETS1
gastroesophageal sphincter female adult (53 years)	ChIP-seq RCOR1
naive thymus-derived CD4-positive, alpha-beta T cell	ChIP-seq H3K4me3
DND-41	ChIP-seq H3K4me1
spleen male adult (54 years)	ChIP-seq H3K4me1
thyroid gland female embryo (37 weeks) and female embryo (40 weeks)	ChIP-seq CEBPB
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H2AK5ac
chorionic villus female embryo (40 weeks)	ChIP-seq H3F3A
skeletal muscle tissue	ChIP-seq FOXK2
large intestine male embryo (108 days)	ChIP-seq H3K9me3
GM06990	ChIP-seq KDM1A
gastroesophageal sphincter male adult (54 years)	ChIP-seq POLR2A
A172	ChIP-seq EZH2
spleen male adult (34 years)	ChIP-seq H3K4ac
mesendoderm originated from H1-hESC	ChIP-seq H2BK120ac
epithelial cell of proximal tubule	ChIP-seq EP300
endocrine pancreas male adult (46 years)	ChIP-seq ZFP36
omental fat pad male adult (54 years)	ChIP-seq H3K18ac
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	ChIP-seq H3K27me3
GM12892	ChIP-seq H3K9me2
HeLa-S3 G1b phase	ChIP-seq H3K27me3
Caco-2	ChIP-seq H3K9me2
SK-N-SH cytosolic fraction	ChIP-seq H2BK12ac
endocrine pancreas adult (59 years)	ChIP-seq EZH2
A375	ChIP-seq TBP
KMS-11	ChIP-seq KDM1A
trophoblast cell originated from H1-hESC	RAMPAGE
CD4-positive, alpha-beta memory T cell	ChIP-seq POLR2AphosphoS5
HeLa-S3	ChIP-seq MAX
endodermal cell originated from HUES64	ChIP-seq JUND
PC-9	ChIP-seq GTF2F1
H7-hESC	ChIP-seq USF1
endocrine pancreas male adult (46 years)	ChIP-seq H3F3A
suprapubic skin female adult (51 year)	ChIP-seq HDAC2
GM12878 cytosolic fraction	ChIP-seq SUZ12
esophagus male adult (34 years)	ChIP-seq H2AFZ
SK-N-SH	ChIP-seq H3K27ac
NCI-H929	ChIP-seq EZH2
Loucy	ChIP-seq MAFK
GM12878 nucleolus fraction	ChIP-seq H3F3A
subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	ChIP-seq H3K36me3
GM12878 nucleolus fraction	ChIP-seq ELK1
CD4-positive, CD25-positive, alpha-beta regulatory T cell	ChIP-seq EZH2
fibroblast of lung female child (11 year) and male adult (45 years)	ChIP-seq HDAC2
neural cell	ChIP-seq H3K4me2
placental basal plate female embryo (40 weeks)	small RNA-seq
GM06990	ChIP-seq FOXK2
vagina female adult (53 years)	ChIP-seq H3F3A
kidney epithelial cell	ChIP-seq KDM1A
thyroid gland female adult (51 year)	ChIP-seq H2AK5ac
MCF-7 cytosolic fraction	ChIP-seq H3F3A
aorta male adult (34 years)	ChIP-seq ATF3
endocrine pancreas male adult (46 years)	ChIP-seq REST
esophagus squamous epithelium male adult (54 years)	ChIP-seq H3K4me1
body of pancreas male adult (37 years)	ChIP-seq TCF12
duodenal mucosa male adult (76 years)	small RNA-seq
HepG2	ChIP-seq H2BK5ac
NCI-H460	small RNA-seq
suprapubic skin female adult (51 year)	ChIP-seq SMC3
right cardiac atrium male adult (34 years)	ChIP-seq MAZ
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq POLR2AphosphoS5
mucosa of rectum female adult (61 year)	polyA RNA-seq
uterus female adult (51 year)	ChIP-seq RFX5
middle frontal area 46 female adult (75 years)	ChIP-seq GABPA
Loucy	ChIP-seq H3K4ac
thyroid gland male adult (54 years)	small RNA-seq
HUES64	ChIP-seq SIN3A
PC-3	ChIP-seq H3K27ac
B cell female adult (27 years) and female adult (43 years)	ChIP-seq ELK1
muscle of leg female embryo (110 days)	ChIP-seq H3K9me2
K562 nuclear fraction	ChIP-seq ZBTB33
transverse colon female adult (51 year)	ChIP-seq SIN3A
sigmoid colon male adult (37 years)	ChIP-seq MAFK
lower leg skin female adult (53 years)	ChIP-seq H3K18ac
KMS-11	ChIP-seq SUZ12
layer of hippocampus male adult (81 year)	ChIP-seq EZH2
HeLa-S3 G1b phase	ChIP-seq FOXA1
HUES64	ChIP-seq H3K23ac
spleen male adult (37 years)	ChIP-seq YY1
neural stem progenitor cell originated from H1-hESC	ChIP-seq ELK1
astrocyte	ChIP-seq FOXA1
HCT116	ChIP-seq H2AFZ
neurosphere female embryo (17 weeks) originated from ganglionic eminence	ChIP-seq H3K27me3
SK-N-SH	ChIP-seq EZH2phosphoT487
HEK293	ChIP-seq H2BK120ac
KMS-11	small RNA-seq
A549	ChIP-seq EP300
ovary female adult (51 year)	ChIP-seq H3K27me3
right atrium auricular region female adult (51 year)	ChIP-seq H3K18ac
mesendoderm originated from H1-hESC	ChIP-seq H3K79me1
esophagus female adult (30 years)	ChIP-seq H3K4me1
Karpas-422	ChIP-seq H2AK5ac
Parathyroid adenoma male adult (65 years)	ChIP-seq FOXA1
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	ChIP-seq RXRA
metanephros female embryo (20 weeks) and female embryo (24 weeks)	RAMPAGE
heart right ventricle male adult (34 years)	microRNA-seq
brain female embryo (17 weeks)	ChIP-seq H2BK120ac
duodenal mucosa male adult (59 years)	ChIP-seq EGR1
adrenal gland male adult (37 years)	ChIP-seq TCF12
CD14-positive monocyte female	ChIP-seq H3K9me2
tongue female embryo (20 weeks) and female embryo (24 weeks)	small RNA-seq
H1-hESC nuclear fraction	ChIP-seq H3K9me2
spleen female adult (30 years)	ChIP-seq KDM1A
heart left ventricle male adult (34 years)	ChIP-seq H3K14ac
body of pancreas female adult (53 years)	ChIP-seq TAF1
esophagus squamous epithelium female adult (51 year)	small RNA-seq
upper lobe of left lung male adult (37 years)	ChIP-seq EZH2phosphoT487
mesenchymal stem cell of Wharton's jelly	ChIP-seq H3K23ac
SK-MEL-5 cytosolic fraction	ChIP-seq ZBTB33
stomach male adult (37 years)	ChIP-seq H2AK5ac
liver male adult (31 year)	microRNA-seq
B cell female adult (27 years) and female adult (43 years)	ChIP-seq H3K9me3
HEK293T	ChIP-seq H3K4ac
brain male embryo (122 days)	ChIP-seq FOXA1
OCI-LY3	ChIP-seq H3K14ac
CD8-positive, alpha-beta T cell male adult (21 year)	microRNA-seq
NCI-H929	microRNA-seq
SK-N-MC	ChIP-seq RXRA
neurosphere female embryo (17 weeks) originated from ganglionic eminence	ChIP-seq FOXA1
muscle layer of colon female adult (77 years)	ChIP-seq H3K18ac
DOHH2	ChIP-seq H3K27me3
large intestine male embryo (108 days)	ChIP-seq H3F3A
SJSA1	ChIP-seq FOXK2
