# Biosample	Assay
KMS-11	ATAC-seq
KMS-11	ChIP-seq FOXK2
KMS-11	ChIP-seq H3K36me3
KMS-11	ChIP-seq KDM1A
KMS-11	ChIP-seq SUZ12
KMS-11	small RNA-seq
SK-N-SH	ChIP-seq EZH2phosphoT487
SK-N-SH	ChIP-seq H3K27ac
SK-N-SH	ChIP-seq HDAC2
SK-N-SH	ChIP-seq SMC3
SK-N-SH	polyA RNA-seq
K562	ChIP-seq ETS1
K562	ChIP-seq H3K18ac
K562	ChIP-seq H4K8ac
K562	ChIP-seq RXRA
K562	RAMPAGE
B cell female adult (27 years) and female adult (43 years)	ChIP-seq ELK1
B cell female adult (27 years) and female adult (43 years)	ChIP-seq H3F3A
B cell female adult (27 years) and female adult (43 years)	ChIP-seq H3K9me3
B cell female adult (27 years) and female adult (43 years)	ChIP-seq REST
B cell female adult (27 years) and female adult (43 years)	ChIP-seq ZFP36
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq EGR1
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq H2BK15ac
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq H3K9ac
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq RAD21
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq YY1
placenta embryo (16 weeks)	ChIP-seq CHD2
placenta embryo (16 weeks)	ChIP-seq H2BK120ac
placenta embryo (16 weeks)	ChIP-seq H3K79me1
placenta embryo (16 weeks)	ChIP-seq POLR2A
placenta embryo (16 weeks)	ChIP-seq USF1
H1-hESC	ChIP-seq BHLHE40
H1-hESC	ChIP-seq H2AFZ
H1-hESC	ChIP-seq H3K4me2
H1-hESC	ChIP-seq MAZ
H1-hESC	ChIP-seq TBP
IMR-90 nuclear fraction	CAGE
IMR-90 nuclear fraction	ChIP-seq GABPA
IMR-90 nuclear fraction	ChIP-seq H3K4ac
IMR-90 nuclear fraction	ChIP-seq MAFK
IMR-90 nuclear fraction	ChIP-seq TAF1
IMR-90 nuclear fraction	total RNA-seq
ovary female adult (51 year)	ChIP-seq FOXA1
ovary female adult (51 year)	ChIP-seq H3K27me3
ovary female adult (51 year)	ChIP-seq JUND
ovary female adult (51 year)	ChIP-seq SP1
ovary female adult (51 year)	polyA depleted RNA-seq
layer of hippocampus female adult (75 years)	ChIP-seq EZH2
layer of hippocampus female adult (75 years)	ChIP-seq H3K23ac
layer of hippocampus female adult (75 years)	ChIP-seq H4K91ac
layer of hippocampus female adult (75 years)	ChIP-seq SIN3A
layer of hippocampus female adult (75 years)	microRNA-seq
epithelial cell of proximal tubule	ChIP-seq EP300
epithelial cell of proximal tubule	ChIP-seq H3K14ac
epithelial cell of proximal tubule	ChIP-seq H4K20me1
epithelial cell of proximal tubule	ChIP-seq RFX5
epithelial cell of proximal tubule	DNase-seq read-depth normalized signal
placenta male embryo (16 weeks)	ChIP-seq ELF1
placenta male embryo (16 weeks)	ChIP-seq H2BK5ac
placenta male embryo (16 weeks)	ChIP-seq H3K9me2
placenta male embryo (16 weeks)	ChIP-seq RCOR1
placenta male embryo (16 weeks)	ChIP-seq ZBTB33
sigmoid colon female adult (53 years)	ChIP-seq CTCF
sigmoid colon female adult (53 years)	ChIP-seq H2BK12ac
sigmoid colon female adult (53 years)	ChIP-seq H3K79me2
sigmoid colon female adult (53 years)	ChIP-seq POLR2AphosphoS5
sigmoid colon female adult (53 years)	ChIP-seq USF2
HL-60	ChIP-seq CEBPB
HL-60	ChIP-seq H2AK5ac
HL-60	ChIP-seq H3K4me3
HL-60	ChIP-seq NRF1
HL-60	ChIP-seq TCF12
esophagus female adult (30 years)	ChIP-seq ATF3
esophagus female adult (30 years)	ChIP-seq GTF2F1
esophagus female adult (30 years)	ChIP-seq H3K4me1
esophagus female adult (30 years)	ChIP-seq MAX
esophagus female adult (30 years)	ChIP-seq TARDBP
fibroblast of lung male adult (45 years)	ATAC-seq
fibroblast of lung male adult (45 years)	ChIP-seq FOXK2
fibroblast of lung male adult (45 years)	ChIP-seq H3K36me3
fibroblast of lung male adult (45 years)	ChIP-seq KDM1A
fibroblast of lung male adult (45 years)	ChIP-seq SUZ12
fibroblast of lung male adult (45 years)	small RNA-seq
liver female adult (25 years)	ChIP-seq EZH2phosphoT487
liver female adult (25 years)	ChIP-seq H3K27ac
liver female adult (25 years)	ChIP-seq HDAC2
liver female adult (25 years)	ChIP-seq SMC3
liver female adult (25 years)	polyA RNA-seq
ACC112	ChIP-seq ETS1
ACC112	ChIP-seq H3K18ac
ACC112	ChIP-seq H4K8ac
ACC112	ChIP-seq RXRA
ACC112	RAMPAGE
stomach female adult (53 years)	ChIP-seq ELK1
stomach female adult (53 years)	ChIP-seq H3F3A
stomach female adult (53 years)	ChIP-seq H3K9me3
stomach female adult (53 years)	ChIP-seq REST
stomach female adult (53 years)	ChIP-seq ZFP36
subcutaneous adipose tissue female adult (53 years)	ChIP-seq EGR1
subcutaneous adipose tissue female adult (53 years)	ChIP-seq H2BK15ac
subcutaneous adipose tissue female adult (53 years)	ChIP-seq H3K9ac
subcutaneous adipose tissue female adult (53 years)	ChIP-seq RAD21
subcutaneous adipose tissue female adult (53 years)	ChIP-seq YY1
chorion male embryo (16 weeks)	ChIP-seq CHD2
chorion male embryo (16 weeks)	ChIP-seq H2BK120ac
chorion male embryo (16 weeks)	ChIP-seq H3K79me1
chorion male embryo (16 weeks)	ChIP-seq POLR2A
chorion male embryo (16 weeks)	ChIP-seq USF1
chorion female embryo (40 weeks)	ChIP-seq BHLHE40
chorion female embryo (40 weeks)	ChIP-seq H2AFZ
chorion female embryo (40 weeks)	ChIP-seq H3K4me2
chorion female embryo (40 weeks)	ChIP-seq MAZ
chorion female embryo (40 weeks)	ChIP-seq TBP
middle frontal area 46 female adult (75 years)	CAGE
middle frontal area 46 female adult (75 years)	ChIP-seq GABPA
middle frontal area 46 female adult (75 years)	ChIP-seq H3K4ac
middle frontal area 46 female adult (75 years)	ChIP-seq MAFK
middle frontal area 46 female adult (75 years)	ChIP-seq TAF1
middle frontal area 46 female adult (75 years)	total RNA-seq
HT1080 nuclear fraction	ChIP-seq FOXA1
HT1080 nuclear fraction	ChIP-seq H3K27me3
HT1080 nuclear fraction	ChIP-seq JUND
HT1080 nuclear fraction	ChIP-seq SP1
HT1080 nuclear fraction	polyA depleted RNA-seq
transverse colon female adult (53 years)	ChIP-seq EZH2
transverse colon female adult (53 years)	ChIP-seq H3K23ac
transverse colon female adult (53 years)	ChIP-seq H4K91ac
transverse colon female adult (53 years)	ChIP-seq SIN3A
transverse colon female adult (53 years)	microRNA-seq
heart left ventricle male adult (34 years)	ChIP-seq EP300
heart left ventricle male adult (34 years)	ChIP-seq H3K14ac
heart left ventricle male adult (34 years)	ChIP-seq H4K20me1
heart left ventricle male adult (34 years)	ChIP-seq RFX5
heart left ventricle male adult (34 years)	DNase-seq read-depth normalized signal
HepG2	ChIP-seq ELF1
HepG2	ChIP-seq H2BK5ac
HepG2	ChIP-seq H3K9me2
HepG2	ChIP-seq RCOR1
HepG2	ChIP-seq ZBTB33
GM12878	ChIP-seq CTCF
GM12878	ChIP-seq H2BK12ac
GM12878	ChIP-seq H3K79me2
GM12878	ChIP-seq POLR2AphosphoS5
GM12878	ChIP-seq USF2
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq CEBPB
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq H2AK5ac
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq H3K4me3
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq NRF1
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq TCF12
fibroblast of breast female adult (17 years)	ChIP-seq ATF3
fibroblast of breast female adult (17 years)	ChIP-seq GTF2F1
fibroblast of breast female adult (17 years)	ChIP-seq H3K4me1
fibroblast of breast female adult (17 years)	ChIP-seq MAX
fibroblast of breast female adult (17 years)	ChIP-seq TARDBP
GM12878 cytosolic fraction	ATAC-seq
GM12878 cytosolic fraction	ChIP-seq FOXK2
GM12878 cytosolic fraction	ChIP-seq H3K36me3
GM12878 cytosolic fraction	ChIP-seq KDM1A
GM12878 cytosolic fraction	ChIP-seq SUZ12
GM12878 cytosolic fraction	small RNA-seq
myotube	ChIP-seq EZH2phosphoT487
myotube	ChIP-seq H3K27ac
myotube	ChIP-seq HDAC2
myotube	ChIP-seq SMC3
myotube	polyA RNA-seq
trophoblast cell originated from H1-hESC	ChIP-seq ETS1
trophoblast cell originated from H1-hESC	ChIP-seq H3K18ac
trophoblast cell originated from H1-hESC	ChIP-seq H4K8ac
trophoblast cell originated from H1-hESC	ChIP-seq RXRA
trophoblast cell originated from H1-hESC	RAMPAGE
A549 cytosolic fraction	ChIP-seq ELK1
A549 cytosolic fraction	ChIP-seq H3F3A
A549 cytosolic fraction	ChIP-seq H3K9me3
A549 cytosolic fraction	ChIP-seq REST
A549 cytosolic fraction	ChIP-seq ZFP36
spleen female adult (53 years)	ChIP-seq EGR1
spleen female adult (53 years)	ChIP-seq H2BK15ac
spleen female adult (53 years)	ChIP-seq H3K9ac
spleen female adult (53 years)	ChIP-seq RAD21
spleen female adult (53 years)	ChIP-seq YY1
H9	ChIP-seq CHD2
H9	ChIP-seq H2BK120ac
H9	ChIP-seq H3K79me1
